dataset,weighting,dim,modality,method,metric,mean,ci_low,ci_high,n,n_boot,seed,evaluation_seed
amazon-books,bm25,128,u2i,hnsw,precision,0.00321,0.00287,0.0035400000000000006,10000,2000,42,42
amazon-books,bm25,128,u2i,hnsw,recall,0.0321,0.0287,0.0354,10000,2000,42,42
amazon-books,bm25,128,u2i,ivfflat,ann_recall_vs_exact,0.9853200000000001,0.9841497499999999,0.98651,10000,2000,42,42
amazon-books,bm25,128,u2i,ivfflat,hr,0.0326,0.0292,0.036,10000,2000,42,42
amazon-books,bm25,128,u2i,ivfflat,map,0.016422698412698413,0.014279279761904764,0.018614623015873015,10000,2000,42,42
amazon-books,bm25,128,u2i,ivfflat,mrr,0.016422698412698413,0.014279279761904764,0.018614623015873015,10000,2000,42,42
amazon-books,bm25,128,u2i,ivfflat,ndcg,0.020221628813868603,0.017897068318663854,0.022564057432593865,10000,2000,42,42
amazon-books,bm25,128,u2i,ivfflat,precision,0.0032600000000000003,0.0029200000000000003,0.0036,10000,2000,42,42
amazon-books,bm25,128,u2i,ivfflat,recall,0.0326,0.0292,0.036,10000,2000,42,42
amazon-books,bm25,128,u2i,ivfpq,ann_recall_vs_exact,0.57507,0.57124,0.5788205,10000,2000,42,42
amazon-books,bm25,128,u2i,ivfpq,hr,0.031,0.0276,0.0343,10000,2000,42,42
amazon-books,bm25,128,u2i,ivfpq,map,0.014758055555555557,0.012746446428571428,0.016826124999999997,10000,2000,42,42
amazon-books,bm25,128,u2i,ivfpq,mrr,0.014758055555555557,0.012746446428571428,0.016826124999999997,10000,2000,42,42
amazon-books,bm25,128,u2i,ivfpq,ndcg,0.018557691912580082,0.016355204999815742,0.020764607277244808,10000,2000,42,42
amazon-books,bm25,128,u2i,ivfpq,precision,0.0031000000000000003,0.0027600000000000003,0.0034300000000000003,10000,2000,42,42
amazon-books,bm25,128,u2i,ivfpq,recall,0.031,0.0276,0.0343,10000,2000,42,42
goodbooks,bm25,128,i2i,flat,ann_recall_vs_exact,1.0,1.0,1.0,10000,2000,42,42
goodbooks,bm25,128,i2i,flat,hr,0.1553,0.14839750000000002,0.1625,10000,2000,42,42
goodbooks,bm25,128,i2i,flat,map,0.0923384523809524,0.08739250694444445,0.09741294543650793,10000,2000,42,42
goodbooks,bm25,128,i2i,flat,mrr,0.0923384523809524,0.08739250694444445,0.09741294543650793,10000,2000,42,42
goodbooks,bm25,128,i2i,flat,ndcg,0.10737880213995148,0.10207363992008248,0.11279577644067536,10000,2000,42,42
goodbooks,bm25,128,i2i,flat,precision,0.01553,0.01483975,0.01625,10000,2000,42,42
goodbooks,bm25,128,i2i,flat,recall,0.1553,0.14839750000000002,0.1625,10000,2000,42,42
goodbooks,bm25,128,i2i,flatpq,ann_recall_vs_exact,0.8706400000000002,0.86872,0.8725202500000003,10000,2000,42,42
goodbooks,bm25,128,i2i,flatpq,hr,0.1534,0.1464975,0.1605025,10000,2000,42,42
goodbooks,bm25,128,i2i,flatpq,map,0.0871373015873016,0.08234149107142857,0.09182778174603175,10000,2000,42,42
goodbooks,bm25,128,i2i,flatpq,mrr,0.0871373015873016,0.08234149107142857,0.09182778174603175,10000,2000,42,42
goodbooks,bm25,128,i2i,flatpq,ndcg,0.10295403957010289,0.09772710410390603,0.10808414617992748,10000,2000,42,42
goodbooks,bm25,128,i2i,flatpq,precision,0.015340000000000001,0.01464975,0.01605025,10000,2000,42,42
goodbooks,bm25,128,i2i,flatpq,recall,0.1534,0.1464975,0.1605025,10000,2000,42,42
goodbooks,bm25,128,i2i,hnsw,ann_recall_vs_exact,0.9998799999999999,0.9998,0.9999399999999999,10000,2000,42,42
