dataset,weighting,dim,method,seed,metric,decile,value
ml-1m,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,8.0,0.6399999999999999
ml-1m,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,9.0,0.6695238095238095
ml-20m,bm25,128,flatpq,42,reconstruction_error_rel_mean,,0.2619151473045349
ml-20m,bm25,128,flatpq,42,norm_distortion_mean,,0.04443113133311272
ml-20m,bm25,128,flatpq,42,pairwise_distance_distortion,,0.05052671208977699
ml-20m,bm25,128,flatpq,42,neighbor_overlap_at_10,,0.8144000000000001
ml-20m,bm25,128,flatpq,42,neighbor_overlap_at_100,,0.84147
ml-20m,bm25,128,flatpq,42,score_variance_flat,,0.015565293841063976
ml-20m,bm25,128,flatpq,42,score_variance_pq,,0.01266234740614891
ml-20m,bm25,128,flatpq,42,score_variance_ratio,,0.8134987707551923
ml-20m,bm25,128,flatpq,42,long_tail_exposure_flat,,0.1998
ml-20m,bm25,128,flatpq,42,long_tail_exposure_pq,,0.2087
ml-20m,bm25,128,flatpq,42,long_tail_exposure_shift,,0.008899999999999991
ml-20m,bm25,128,flatpq,42,delta_ndcg_vs_flat,,-0.0022796011742564487
ml-20m,bm25,128,flatpq,42,reconstruction_error_rel_decile,1.0,0.2220282405614853
ml-20m,bm25,128,flatpq,42,reconstruction_error_rel_decile,2.0,0.2734869420528412
ml-20m,bm25,128,flatpq,42,reconstruction_error_rel_decile,3.0,0.27926531434059143
ml-20m,bm25,128,flatpq,42,reconstruction_error_rel_decile,4.0,0.2706891596317291
ml-20m,bm25,128,flatpq,42,reconstruction_error_rel_decile,5.0,0.2648997902870178
ml-20m,bm25,128,flatpq,42,reconstruction_error_rel_decile,6.0,0.2568449079990387
ml-20m,bm25,128,flatpq,42,reconstruction_error_rel_decile,7.0,0.2545412480831146
ml-20m,bm25,128,flatpq,42,reconstruction_error_rel_decile,8.0,0.26387253403663635
ml-20m,bm25,128,flatpq,42,reconstruction_error_rel_decile,9.0,0.285876601934433
ml-20m,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,1.0,0.8993670886075951
ml-20m,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,2.0,0.8136986301369863
ml-20m,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,3.0,0.7917431192660551
ml-20m,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,4.0,0.7387096774193549
ml-20m,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,5.0,0.7693069306930693
ml-20m,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,6.0,0.7900000000000001
ml-20m,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,7.0,0.8170212765957446
ml-20m,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,8.0,0.8218390804597702
ml-20m,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,9.0,0.8392156862745102
ml-20m,bm25,128,ivfpq,42,reconstruction_error_rel_mean,,0.19536669552326202
ml-20m,bm25,128,ivfpq,42,norm_distortion_mean,,0.026478363201022148
ml-20m,bm25,128,ivfpq,42,pairwise_distance_distortion,,0.029332803562283516
ml-20m,bm25,128,ivfpq,42,neighbor_overlap_at_10,,0.6191
ml-20m,bm25,128,ivfpq,42,neighbor_overlap_at_100,,0.43928
ml-20m,bm25,128,ivfpq,42,score_variance_flat,,0.015565293841063976
ml-20m,bm25,128,ivfpq,42,score_variance_pq,,inf
ml-20m,bm25,128,ivfpq,42,score_variance_ratio,,inf
ml-20m,bm25,128,ivfpq,42,long_tail_exposure_flat,,0.1998
ml-20m,bm25,128,ivfpq,42,long_tail_exposure_pq,,0.2043
ml-20m,bm25,128,ivfpq,42,long_tail_exposure_shift,,0.004500000000000004
ml-20m,bm25,128,ivfpq,42,delta_ndcg_vs_flat,,-0.0003867358582552022
ml-20m,bm25,128,ivfpq,42,reconstruction_error_rel_decile,1.0,0.15927238762378693
ml-20m,bm25,128,ivfpq,42,reconstruction_error_rel_decile,2.0,0.2148260623216629
ml-20m,bm25,128,ivfpq,42,reconstruction_error_rel_decile,3.0,0.22524625062942505
ml-20m,bm25,128,ivfpq,42,reconstruction_error_rel_decile,4.0,0.21292178332805634
ml-20m,bm25,128,ivfpq,42,reconstruction_error_rel_decile,5.0,0.20233537256717682
ml-20m,bm25,128,ivfpq,42,reconstruction_error_rel_decile,6.0,0.18216444551944733
ml-20m,bm25,128,ivfpq,42,reconstruction_error_rel_decile,7.0,0.17729954421520233
ml-20m,bm25,128,ivfpq,42,reconstruction_error_rel_decile,8.0,0.17987798154354095
ml-20m,bm25,128,ivfpq,42,reconstruction_error_rel_decile,9.0,0.21343311667442322
ml-20m,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,1.0,0.7525316455696203
ml-20m,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,2.0,0.5643835616438356
ml-20m,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,3.0,0.5541284403669725
ml-20m,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,4.0,0.4956989247311828
ml-20m,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,5.0,0.5801980198019802
ml-20m,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,6.0,0.6245454545454544
ml-20m,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,7.0,0.6404255319148936
ml-20m,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,8.0,0.6597701149425287
ml-20m,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,9.0,0.6509803921568628
goodbooks,bm25,128,flatpq,42,reconstruction_error_rel_mean,,0.2318796068429947
goodbooks,bm25,128,flatpq,42,norm_distortion_mean,,0.03657769784331322
goodbooks,bm25,128,flatpq,42,pairwise_distance_distortion,,0.03606467321515083
goodbooks,bm25,128,flatpq,42,neighbor_overlap_at_10,,0.8611000000000001
goodbooks,bm25,128,flatpq,42,neighbor_overlap_at_100,,0.9237799999999999
goodbooks,bm25,128,flatpq,42,score_variance_flat,,0.06026458740234375
goodbooks,bm25,128,flatpq,42,score_variance_pq,,0.05364517122507095
goodbooks,bm25,128,flatpq,42,score_variance_ratio,,0.8901607650098113
goodbooks,bm25,128,flatpq,42,long_tail_exposure_flat,,0.1333
goodbooks,bm25,128,flatpq,42,long_tail_exposure_pq,,0.1381
goodbooks,bm25,128,flatpq,42,long_tail_exposure_shift,,0.004799999999999999
goodbooks,bm25,128,flatpq,42,delta_ndcg_vs_flat,,-0.002473225521122495
goodbooks,bm25,128,flatpq,42,reconstruction_error_rel_decile,0.0,0.25102657079696655
goodbooks,bm25,128,flatpq,42,reconstruction_error_rel_decile,1.0,0.2464958280324936
goodbooks,bm25,128,flatpq,42,reconstruction_error_rel_decile,2.0,0.2417803853750229
goodbooks,bm25,128,flatpq,42,reconstruction_error_rel_decile,3.0,0.24034483730793
goodbooks,bm25,128,flatpq,42,reconstruction_error_rel_decile,4.0,0.23104296624660492
goodbooks,bm25,128,flatpq,42,reconstruction_error_rel_decile,5.0,0.21786822378635406
goodbooks,bm25,128,flatpq,42,reconstruction_error_rel_decile,6.0,0.21979281306266785
goodbooks,bm25,128,flatpq,42,reconstruction_error_rel_decile,7.0,0.22189663350582123
goodbooks,bm25,128,flatpq,42,reconstruction_error_rel_decile,8.0,0.21528233587741852
goodbooks,bm25,128,flatpq,42,reconstruction_error_rel_decile,9.0,0.23401789367198944
goodbooks,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,0.0,0.8350515463917527
goodbooks,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,1.0,0.8362637362637365
goodbooks,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,2.0,0.8570000000000002
goodbooks,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,3.0,0.8544554455445547
goodbooks,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,4.0,0.8471153846153846
goodbooks,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,5.0,0.8666666666666668
goodbooks,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,6.0,0.8822033898305087
goodbooks,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,7.0,0.8673913043478264
goodbooks,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,8.0,0.8851063829787236
goodbooks,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,9.0,0.874766355140187
goodbooks,bm25,128,ivfpq,42,reconstruction_error_rel_mean,,0.1668829768896103
goodbooks,bm25,128,ivfpq,42,norm_distortion_mean,,0.017883123829960823
goodbooks,bm25,128,ivfpq,42,pairwise_distance_distortion,,0.018787631765007973
goodbooks,bm25,128,ivfpq,42,neighbor_overlap_at_10,,0.8028
