dataset,weighting,dim,modality,method,embedding_backend,ndcg_at_10,recall_at_100,ann_recall_vs_flat_at_100,latency_p95_ms,qps,rss_mb,long_tail_uplift,delta_ndcg_vs_flat,effect_size_label,quality_retention,latency_score,memory_score,exposure_score,w_quality,w_latency,w_memory,w_exposure,deployment_score,deployment_rank,recommended_use_case,recommendation_reason,all_targets_reached,seed
goodbooks,bm25,128,u2i,ivfflat,svd_bm25,0.0141675294590354,0.177,0.964875,0.0697999994827114,18181.818039810743,64.92578125,0.0228922084794406,3.192634188292978e-06,negligible,1.0,0.9755662078117984,0.28519195612431447,0.016634676903390905,0.45,0.3,0.15,0.1,0.7871,2,online_serving_recommended,quality retention negligible/small at calibrated operating point within latency and memory budgets,True,42
goodbooks,bm25,128,u2i,hnsw,svd_bm25,0.0140986038444432,0.1767,0.942804,0.0672350005515909,27472.52764485373,66.75390625,0.0223722084794406,-6.573298040392708e-05,negligible,1.0,1.0,0.0,0.0,0.45,0.3,0.15,0.1,0.75,3,online_serving_recommended,quality retention negligible/small at calibrated operating point within latency and memory budgets,True,42
goodbooks,bm25,128,u2i,ivfpq,svd_bm25,0.0127484908510818,0.1635,0.788949,0.3112199995030096,5316.321110541674,63.9921875,0.0536322084794406,-0.0014158459737653,negligible,1.0,0.0,0.4308348567946374,1.0,0.45,0.3,0.15,0.1,0.6146,4,not_recommended,agreement recall 0.789 below floor 0.9,False,42
goodbooks,bm25,128,u2i,flat,svd_bm25,0.0141643368248471,0.1816,1.0,0.2155000001948792,7052.1861695116395,64.75,0.0225422084794406,0.0,exact_reference,1.0,0.23986013300029552,0.3126142595978062,0.0054382597568778,0.45,0.3,0.15,0.1,0.5694,5,exact_reference,exact search; ground-truth quality reference,,42
ml-1m,bm25,128,i2i,flatpq,svd_bm25,0.0571564857803436,0.3917799138216771,0.8682913490222076,0.0654050004868622,20491.80306308868,55.37109375,0.0147332408416434,-0.0010012103624323,negligible,1.0,0.7270424572733526,1.0,1.0,0.45,0.3,0.15,0.1,0.9181,1,offline_batch_only,Flat-PQ scans all compressed codes; policy restricts it to offline/batch candidate generation (allow_flatpq_online=false),,42
ml-1m,bm25,128,i2i,ivfflat,svd_bm25,0.0578082614209449,0.3894597282068279,0.9481455087835596,0.0551100002667226,45871.55864843092,56.68359375,0.0111369531386272,-0.000349434721831,negligible,1.0,0.8845133985468303,0.33596837944664026,0.0,0.45,0.3,0.15,0.1,0.7657,2,online_serving_recommended,quality retention negligible/small at calibrated operating point within latency and memory budgets,True,42
ml-1m,bm25,128,i2i,hnsw,svd_bm25,0.058157696142776,0.4003977461054027,0.989580709313888,0.0486049999381066,27932.961088564574,57.27734375,0.0111369531386272,0.0,negligible,1.0,1.0,0.035573122529644285,0.0,0.45,0.3,0.15,0.1,0.7553,3,online_serving_recommended,quality retention negligible/small at calibrated operating point within latency and memory budgets,True,42
ml-1m,bm25,128,i2i,flat,svd_bm25,0.058157696142776,0.4012263838249917,1.0,0.0949800004491407,17452.006779021074,56.6015625,0.0111369531386272,0.0,exact_reference,1.0,0.38402756318077547,0.37747035573122534,0.0,0.45,0.3,0.15,0.1,0.6218,4,exact_reference,exact search; ground-truth quality reference,,42
ml-1m,bm25,128,i2i,ivfpq,svd_bm25,0.0572254369903561,0.3941000994365263,0.8983244945309911,0.1442200002202298,9293.680230523436,57.34765625,0.0135400025254353,-0.0009322591524199,negligible,1.0,0.0,0.0,0.6682027649769696,0.45,0.3,0.15,0.1,0.5168,5,not_recommended,agreement recall 0.898 below floor 0.9,False,42
ml-1m,bm25,128,u2i,flatpq,svd_bm25,0.0437124589510732,0.3773616175008286,0.7614186277759365,0.0669999999445281,21008.40355487854,55.0546875,-0.0045242997616047,-0.0050495001458162,negligible,1.0,0.6551508235663972,1.0,1.0,0.45,0.3,0.15,0.1,0.8965,1,offline_batch_only,Flat-PQ scans all compressed codes; policy restricts it to offline/batch candidate generation (allow_flatpq_online=false),,42
ml-1m,bm25,128,u2i,ivfflat,svd_bm25,0.0487619590968895,0.3939343718926085,0.9886277759363606,0.0437049998708971,31347.963210111557,56.51953125,-0.0048391820950486,0.0,negligible,1.0,1.0,0.3144424131627057,0.0,0.45,0.3,0.15,0.1,0.7972,2,online_serving_recommended,quality retention negligible/small at calibrated operating point within latency and memory budgets,True,42
ml-1m,bm25,128,u2i,hnsw,svd_bm25,0.0487619590968895,0.3957573748757043,0.9630659595624792,0.0520099993991607,26560.424829345353,57.19140625,-0.0048391820950486,0.0,negligible,1.0,0.859573067453598,0.0,0.0,0.45,0.3,0.15,0.1,0.7079,3,online_serving_recommended,quality retention negligible/small at calibrated operating point within latency and memory budgets,True,42
ml-1m,bm25,128,u2i,flat,svd_bm25,0.0487619590968895,0.3977461054027179,1.0,0.0815100002910185,17391.30423700047,56.4765625,-0.0048391820950486,0.0,exact_reference,1.0,0.49691794017963387,0.3345521023765996,0.0,0.45,0.3,0.15,0.1,0.6493,4,exact_reference,exact search; ground-truth quality reference,,42
ml-1m,bm25,128,u2i,ivfpq,svd_bm25,0.0478332719189893,0.4008949287371561,0.8156629101756712,0.1508600004854087,9267.840564786939,57.19140625,-0.0047563183230897,-0.0009286871779001,negligible,1.0,0.0,0.0,0.2631578947367763,0.45,0.3,0.15,0.1,0.4763,5,not_recommended,agreement recall 0.816 below floor 0.9,False,42
ml-20m,bm25,128,i2i,flatpq,svd_bm25,0.0488859086280897,0.2818,0.859734,0.2163099999506812,6410.256407754552,66.9765625,0.0026945854880611,-0.0003862084909596,negligible,1.0,0.4425000984924009,1.0,0.7031249999999999,0.45,0.3,0.15,0.1,0.8031,1,offline_batch_only,Flat-PQ scans all compressed codes; policy restricts it to offline/batch candidate generation (allow_flatpq_online=false),,42
ml-20m,bm25,128,i2i,ivfflat,svd_bm25,0.0489294372964022,0.2781,0.9484,0.0857000004543806,26143.79070199202,77.54296875,0.0023745854880611,-0.000342679822647,negligible,1.0,0.9029402311160462,0.29630593132154004,0.20312499999999986,0.45,0.3,0.15,0.1,0.7856,2,online_serving_recommended,quality retention negligible/small at calibrated operating point within latency and memory budgets,True,42
ml-20m,bm25,128,i2i,hnsw,svd_bm25,0.0492721171190493,0.2791,0.985562,0.0705050002125062,22883.295258235943,81.9921875,0.0024245854880611,0.0,negligible,1.0,1.0,0.0,0.2812500000000001,0.45,0.3,0.15,0.1,0.7781,3,online_serving_recommended,quality retention negligible/small at calibrated operating point within latency and memory budgets,True,42
ml-20m,bm25,128,i2i,ivfpq,svd_bm25,0.049547589290731,0.2854,0.882402,0.3673400000934634,3649.6350366250535,72.26953125,0.0028845854880611,0.0002754721716816,negligible,1.0,0.1791365388016154,0.6475026014568158,1.0,0.45,0.3,0.15,0.1,0.7009,4,not_recommended,agreement recall 0.882 below floor 0.9,False,42
ml-20m,bm25,128,i2i,flat,svd_bm25,0.0492721171190493,0.2798,1.0,0.5266299998311297,3173.092178269233,77.4140625,0.0022445854880611,0.0,exact_reference,1.0,0.0,0.30489073881373574,0.0,0.45,0.3,0.15,0.1,0.4957,5,exact_reference,exact search; ground-truth quality reference,,42
ml-20m,bm25,128,u2i,flatpq,svd_bm25,0.0404969185615935,0.3416,0.69345,0.1881200007119332,6720.4301162790225,67.01953125,-0.0004454145119388,0.000119221751483,negligible,1.0,0.5576903597713994,1.0,1.0,0.45,0.3,0.15,0.1,0.8673,1,offline_batch_only,Flat-PQ scans all compressed codes; policy restricts it to offline/batch candidate generation (allow_flatpq_online=false),,42
ml-20m,bm25,128,u2i,hnsw,svd_bm25,0.0403776968101104,0.3639,0.953289,0.0859050001508876,22988.50565496626,82.05859375,-0.0005954145119388,0.0,negligible,1.0,1.0,0.0,0.0,0.45,0.3,0.15,0.1,0.75,2,online_serving_recommended,quality retention negligible/small at calibrated operating point within latency and memory budgets,True,42
ml-20m,bm25,128,u2i,ivfflat,svd_bm25,0.0403164556518018,0.359,0.963957,0.1348999995116173,16420.361280208937,77.83203125,-0.0005954145119388,-6.124115830857119e-05,negligible,1.0,0.7453419284101278,0.2810389610389611,0.0,0.45,0.3,0.15,0.1,0.7158,3,online_serving_recommended,quality retention negligible/small at calibrated operating point within latency and memory budgets,True,42
ml-20m,bm25,128,u2i,ivfpq,svd_bm25,0.041302737980245,0.3544,0.717235,0.44811500065407,3457.2169439960485,72.46875,-0.0005154145119388,0.0009250411701346,negligible,1.0,0.06790622827003356,0.6376623376623376,0.5333333333333332,0.45,0.3,0.15,0.1,0.6194,4,not_recommended,agreement recall 0.717 below floor 0.9,False,42
ml-20m,bm25,128,u2i,flat,svd_bm25,0.0403776968101104,0.3645,1.0,0.505419999399237,3006.6145552890707,77.2578125,-0.0005954145119388,0.0,exact_reference,1.0,0.0,0.3192207792207792,0.0,0.45,0.3,0.15,0.1,0.4979,5,exact_reference,exact search; ground-truth quality reference,,42
