dataset,weighting,dim,modality,method,target_recall,target_reached,param_name,calibrated_param_value,achieved_recall_vs_exact,latency_p50_ms,latency_p95_ms
ml-20m,bm25,128,i2i,hnsw,0.95,True,ef,64,0.98655,0.0766499997553182,0.1790199996776209
ml-20m,bm25,128,i2i,hnsw,0.98,True,ef,64,0.98655,0.1009500001600827,0.1713049992758897
ml-20m,bm25,128,i2i,ivfflat,0.9,True,nprobe,16,0.95033,0.0439499999629333,0.1479200003359436
ml-20m,bm25,128,i2i,ivfflat,0.95,True,nprobe,16,0.95033,0.0485000000480795,0.1175949997559654
ml-20m,bm25,128,i2i,ivfflat,0.98,True,nprobe,32,0.98714,0.0770500000726315,0.2288249996581725
ml-20m,bm25,128,i2i,ivfpq,0.9,False,nprobe,128,0.88259,0.8690999998179905,1.093665000007604
ml-20m,bm25,128,i2i,ivfpq,0.95,False,nprobe,128,0.88259,0.3349500002514105,1.0166499997467324
ml-20m,bm25,128,i2i,ivfpq,0.98,False,nprobe,128,0.88259,0.5512999996426515,1.0458099996867527
ml-20m,bm25,128,u2i,hnsw,0.9,True,ef,64,0.97967,0.0519500003974826,0.1383999998779471
ml-20m,bm25,128,u2i,hnsw,0.95,True,ef,64,0.97967,0.050300000111747,0.0892549998297908
ml-20m,bm25,128,u2i,hnsw,0.98,True,ef,128,0.99802,0.1065500000549946,0.3072900002280218
ml-20m,bm25,128,u2i,ivfflat,0.9,True,nprobe,32,0.9731,0.1020499998958257,0.2314500005468287
ml-20m,bm25,128,u2i,ivfflat,0.95,True,nprobe,32,0.9731,0.0870499998200102,0.2697199994145192
ml-20m,bm25,128,u2i,ivfflat,0.98,True,nprobe,64,0.996,0.1527499998701387,0.4911299996365414
ml-20m,bm25,128,u2i,ivfpq,0.9,False,nprobe,128,0.74128,0.2975500001412001,0.7988200006366242
ml-20m,bm25,128,u2i,ivfpq,0.95,False,nprobe,128,0.74128,0.3249499995945371,1.0722600002736722
ml-20m,bm25,128,u2i,ivfpq,0.98,False,nprobe,128,0.74128,0.3232500002923189,0.912154999969061
