dataset,weighting,dim,method,seed,reconstruction_error_rel_mean,norm_distortion_mean,pairwise_distance_distortion,neighbor_overlap_at_10,neighbor_overlap_at_100,score_variance_flat,score_variance_pq,score_variance_ratio,long_tail_exposure_flat,long_tail_exposure_pq,long_tail_exposure_shift,delta_ndcg_vs_flat,interpretation_label,nprobe_used,n_sample_vectors,n_sample_queries,corr_recon_error_vs_delta_ndcg,corr_neighbor_overlap_vs_delta_ndcg,corr_n_points
amazon-books,bm25,128,flatpq,42,0.2621341347694397,0.0479276962578296,0.0489385947585105,0.6750999999999999,0.74319,0.0052596770751144,0.00390234883181,0.741936962303935,0.31,0.3184,0.0084,-0.0032673146684471,compression_preserves_quality,-1,5000,1000,-0.5714285714285715,-0.4523809523809524,8
amazon-books,bm25,128,ivfpq,42,0.1970800459384918,0.0247063133865594,0.0266307182610034,0.58,0.56214,0.0052596770751144,0.0063577048780382,1.2087633493924907,0.31,0.3035,-0.0065,-0.0012980328510864,compression_preserves_quality,1,5000,1000,-0.5714285714285715,-0.4523809523809524,8
goodbooks,bm25,128,flatpq,42,0.2111735641956329,0.0293513145297765,0.0296473111957311,0.8700000000000001,0.9326,0.0602693055040302,0.055672273404059,0.923725152272349,0.1333,0.1387,0.0053999999999999,-0.0029953994045337,compression_preserves_quality,-1,5000,1000,-0.5714285714285715,-0.4523809523809524,8
goodbooks,bm25,128,ivfpq,42,0.1673020869493484,0.0175569336861372,0.0186390969902277,0.8060000000000002,0.6195,0.0602693055040302,0.0784282964552325,1.3012974979442562,0.1333,0.141,0.0076999999999999,-0.0023200981364436,compression_preserves_quality,1,5000,1000,-0.5714285714285715,-0.4523809523809524,8
ml-1m,bm25,128,flatpq,42,0.2470835000276565,0.0378091484308242,0.0388031378388404,0.8535000000000001,0.8693299999999999,0.0356292169305546,0.0308356193271358,0.8654587999292236,0.0959,0.1061,0.0102,-0.0030253552541243,compression_preserves_quality,-1,3533,1000,-0.5714285714285715,-0.4523809523809524,8
ml-1m,bm25,128,ivfpq,42,0.2100441753864288,0.0264974813908338,0.0280108712613582,0.6617999999999999,0.3691900000000001,0.0356292169305546,0.0711333655581431,1.9964897263049608,0.0959,0.1134453781512605,0.0175453781512605,-0.00093047316516,compression_preserves_quality,1,3533,1000,-0.5714285714285715,-0.4523809523809524,8
ml-20m,bm25,128,flatpq,42,0.2362271547317505,0.0344247743487358,0.0385479666292667,0.8166,0.84996,0.0155943355968091,0.0133348051611916,0.8551056938854256,0.2,0.2085,0.0084999999999999,-0.0001334933697382,compression_preserves_quality,-1,5000,1000,-0.5714285714285715,-0.4523809523809524,8
ml-20m,bm25,128,ivfpq,42,0.1838347464799881,0.0228135921061038,0.0251083429902791,0.6314,0.4409099999999999,0.0155943355968091,0.0261545841992054,1.6771849006864428,0.2,0.2071,0.0070999999999999,0.0006002566709081,compression_preserves_quality,1,5000,1000,-0.5714285714285715,-0.4523809523809524,8
