dataset,weighting,modality,method,metric,mean_diff,ci_low,ci_high,p_value,n_boot,significant_at_0.05,cohens_d,cohens_d_magnitude,cliffs_delta,cliffs_delta_magnitude
goodbooks,bm25,u2i,hnsw,hr,-0.0001,-0.0005,0.0002,0.77,2000,False,-0.0057733102321834,negligible,1.2000000000001593e-05,negligible
goodbooks,bm25,u2i,hnsw,ndcg,-6.573298040392983e-05,-0.0002306128014158,5.959981091833804e-05,0.379,2000,False,-0.0085354744343435,negligible,-1.4000000000000123e-05,negligible
goodbooks,bm25,u2i,hnsw,recall,-0.0001,-0.0005,0.0002,0.77,2000,False,-0.0057733102321834,negligible,1.2000000000001593e-05,negligible
goodbooks,bm25,u2i,ivfflat,hr,0.0,-0.0006,0.0006,1.0,2000,False,0.0,negligible,0.0001259999999999,negligible
goodbooks,bm25,u2i,ivfflat,ndcg,3.192634188290677e-06,-0.0002175145438169,0.0001968049920234,0.928,2000,False,0.000310724954656,negligible,0.0001064999999999,negligible
goodbooks,bm25,u2i,ivfflat,recall,0.0,-0.0006,0.0006,1.0,2000,False,0.0,negligible,0.0001259999999999,negligible
goodbooks,bm25,u2i,ivfpq,hr,-0.0031,-0.0056,-0.0006,0.012,2000,True,-0.0241392912435414,negligible,-0.003047,negligible
goodbooks,bm25,u2i,ivfpq,ndcg,-0.0014158459737653,-0.0024895049735121,-0.0003460352553039,0.01,2000,True,-0.0254896739922451,negligible,-0.0030714999999999,negligible
goodbooks,bm25,u2i,ivfpq,recall,-0.0031,-0.0056,-0.0006,0.012,2000,True,-0.0241392912435414,negligible,-0.003047,negligible
ml-1m,bm25,i2i,flatpq,hr,-0.0026516407026847,-0.0064633742127941,0.0011600928074245,0.193,2000,False,-0.0179293348656731,negligible,-0.0033794999999999,negligible
ml-1m,bm25,i2i,flatpq,ndcg,-0.0010012103624323,-0.0024167007086683,0.000497042251496,0.186,2000,False,-0.0174504686380432,negligible,-0.0032279999999999,negligible
ml-1m,bm25,i2i,flatpq,recall,-0.0026516407026847,-0.0064633742127941,0.0011600928074245,0.193,2000,False,-0.0179293348656731,negligible,-0.0033794999999999,negligible
ml-1m,bm25,i2i,hnsw,hr,0.0,0.0,0.0,1.0,2000,False,0.0,negligible,-0.0006709999999999,negligible
ml-1m,bm25,i2i,hnsw,ndcg,0.0,0.0,0.0,1.0,2000,False,0.0,negligible,-0.0006575,negligible
