dataset,weighting,dim,method,seed,metric,decile,value
goodbooks,bm25,128,flatpq,42,long_tail_exposure_shift,-1,0.005399999999999988
goodbooks,bm25,128,flatpq,42,neighbor_overlap_at_10,-1,0.8700000000000001
goodbooks,bm25,128,flatpq,42,neighbor_overlap_at_100,-1,0.9326
goodbooks,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,0,0.845360824742268
goodbooks,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,1,0.8571428571428573
goodbooks,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,2,0.8510000000000002
goodbooks,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,3,0.8732673267326736
goodbooks,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,4,0.8596153846153847
goodbooks,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,5,0.8708333333333336
goodbooks,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,6,0.8889830508474578
goodbooks,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,7,0.8706521739130436
goodbooks,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,8,0.8861702127659575
goodbooks,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,9,0.8915887850467291
goodbooks,bm25,128,flatpq,42,norm_distortion_mean,-1,0.029351314529776573
goodbooks,bm25,128,flatpq,42,pairwise_distance_distortion,-1,0.029647311195731163
goodbooks,bm25,128,flatpq,42,reconstruction_error_rel_decile,0,0.2360825091600418
goodbooks,bm25,128,flatpq,42,reconstruction_error_rel_decile,1,0.22856099903583527
goodbooks,bm25,128,flatpq,42,reconstruction_error_rel_decile,2,0.22166725993156433
goodbooks,bm25,128,flatpq,42,reconstruction_error_rel_decile,3,0.21798139810562134
goodbooks,bm25,128,flatpq,42,reconstruction_error_rel_decile,4,0.2097184658050537
goodbooks,bm25,128,flatpq,42,reconstruction_error_rel_decile,5,0.19724689424037933
goodbooks,bm25,128,flatpq,42,reconstruction_error_rel_decile,6,0.1973777860403061
goodbooks,bm25,128,flatpq,42,reconstruction_error_rel_decile,7,0.19997668266296387
goodbooks,bm25,128,flatpq,42,reconstruction_error_rel_decile,8,0.1939377784729004
goodbooks,bm25,128,flatpq,42,reconstruction_error_rel_decile,9,0.21007117629051208
goodbooks,bm25,128,flatpq,42,reconstruction_error_rel_mean,-1,0.21117356419563293
goodbooks,bm25,128,flatpq,42,score_variance_flat,-1,0.06026930550403021
goodbooks,bm25,128,flatpq,42,score_variance_pq,-1,0.055672273404059024
goodbooks,bm25,128,flatpq,42,score_variance_ratio,-1,0.923725152272349
goodbooks,bm25,128,ivfpq,42,delta_ndcg_vs_flat,-1,-0.0023200981364436893
goodbooks,bm25,128,ivfpq,42,long_tail_exposure_flat,-1,0.1333
goodbooks,bm25,128,ivfpq,42,long_tail_exposure_pq,-1,0.141
goodbooks,bm25,128,ivfpq,42,long_tail_exposure_shift,-1,0.007699999999999985
goodbooks,bm25,128,ivfpq,42,neighbor_overlap_at_10,-1,0.8060000000000002
goodbooks,bm25,128,ivfpq,42,neighbor_overlap_at_100,-1,0.6195
goodbooks,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,0,0.7907216494845359
goodbooks,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,1,0.8076923076923075
goodbooks,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,2,0.81
goodbooks,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,3,0.7762376237623761
goodbooks,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,4,0.8144230769230771
goodbooks,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,5,0.8291666666666666
goodbooks,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,6,0.8169491525423731
goodbooks,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,7,0.8380434782608697
goodbooks,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,8,0.8053191489361705
goodbooks,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,9,0.7747663551401871
goodbooks,bm25,128,ivfpq,42,norm_distortion_mean,-1,0.0175569336861372
goodbooks,bm25,128,ivfpq,42,pairwise_distance_distortion,-1,0.0186390969902277
goodbooks,bm25,128,ivfpq,42,reconstruction_error_rel_decile,0,0.18493054807186127
goodbooks,bm25,128,ivfpq,42,reconstruction_error_rel_decile,1,0.1784595400094986
goodbooks,bm25,128,ivfpq,42,reconstruction_error_rel_decile,2,0.17097391188144684
goodbooks,bm25,128,ivfpq,42,reconstruction_error_rel_decile,3,0.17022384703159332
goodbooks,bm25,128,ivfpq,42,reconstruction_error_rel_decile,4,0.1670307070016861
goodbooks,bm25,128,ivfpq,42,reconstruction_error_rel_decile,5,0.1579417586326599
goodbooks,bm25,128,ivfpq,42,reconstruction_error_rel_decile,6,0.15708231925964355
goodbooks,bm25,128,ivfpq,42,reconstruction_error_rel_decile,7,0.16127066314220428
goodbooks,bm25,128,ivfpq,42,reconstruction_error_rel_decile,8,0.1550607979297638
goodbooks,bm25,128,ivfpq,42,reconstruction_error_rel_decile,9,0.17085331678390503
goodbooks,bm25,128,ivfpq,42,reconstruction_error_rel_mean,-1,0.16730208694934845
goodbooks,bm25,128,ivfpq,42,score_variance_flat,-1,0.06026930550403021
goodbooks,bm25,128,ivfpq,42,score_variance_pq,-1,0.0784282964552325
goodbooks,bm25,128,ivfpq,42,score_variance_ratio,-1,1.3012974979442562
ml-1m,bm25,128,flatpq,42,delta_ndcg_vs_flat,-1,-0.003025355254124347
ml-1m,bm25,128,flatpq,42,long_tail_exposure_flat,-1,0.0959
ml-1m,bm25,128,flatpq,42,long_tail_exposure_pq,-1,0.1061
ml-1m,bm25,128,flatpq,42,long_tail_exposure_shift,-1,0.0102
ml-1m,bm25,128,flatpq,42,neighbor_overlap_at_10,-1,0.8535000000000001
ml-1m,bm25,128,flatpq,42,neighbor_overlap_at_100,-1,0.8693299999999999
ml-1m,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,0,0.8441860465116279
ml-1m,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,1,0.827956989247312
ml-1m,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,2,0.8354166666666667
ml-1m,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,3,0.8505050505050505
ml-1m,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,4,0.8159574468085108
ml-1m,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,5,0.8611650485436895
ml-1m,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,6,0.8703389830508476
ml-1m,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,7,0.868867924528302
ml-1m,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,8,0.87
ml-1m,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,9,0.8790476190476192
ml-1m,bm25,128,flatpq,42,norm_distortion_mean,-1,0.03780914843082428
ml-1m,bm25,128,flatpq,42,pairwise_distance_distortion,-1,0.038803137838840485
ml-1m,bm25,128,flatpq,42,reconstruction_error_rel_decile,0,0.25453799962997437
ml-1m,bm25,128,flatpq,42,reconstruction_error_rel_decile,1,0.2661365270614624
ml-1m,bm25,128,flatpq,42,reconstruction_error_rel_decile,2,0.25634366273880005
ml-1m,bm25,128,flatpq,42,reconstruction_error_rel_decile,3,0.25087302923202515
ml-1m,bm25,128,flatpq,42,reconstruction_error_rel_decile,4,0.24562141299247742
ml-1m,bm25,128,flatpq,42,reconstruction_error_rel_decile,5,0.24066254496574402
ml-1m,bm25,128,flatpq,42,reconstruction_error_rel_decile,6,0.23938515782356262
ml-1m,bm25,128,flatpq,42,reconstruction_error_rel_decile,7,0.2416844516992569
ml-1m,bm25,128,flatpq,42,reconstruction_error_rel_decile,8,0.23563890159130096
ml-1m,bm25,128,flatpq,42,reconstruction_error_rel_decile,9,0.2411338984966278
ml-1m,bm25,128,flatpq,42,reconstruction_error_rel_mean,-1,0.24708350002765656
ml-1m,bm25,128,flatpq,42,score_variance_flat,-1,0.03562921693055468
ml-1m,bm25,128,flatpq,42,score_variance_pq,-1,0.03083561932713583
ml-1m,bm25,128,flatpq,42,score_variance_ratio,-1,0.8654587999292236
ml-1m,bm25,128,ivfpq,42,delta_ndcg_vs_flat,-1,-0.0009304731651600465
ml-1m,bm25,128,ivfpq,42,long_tail_exposure_flat,-1,0.0959
ml-1m,bm25,128,ivfpq,42,long_tail_exposure_pq,-1,0.1134453781512605
ml-1m,bm25,128,ivfpq,42,long_tail_exposure_shift,-1,0.017545378151260504
ml-1m,bm25,128,ivfpq,42,neighbor_overlap_at_10,-1,0.6617999999999999
ml-1m,bm25,128,ivfpq,42,neighbor_overlap_at_100,-1,0.3691900000000001
ml-1m,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,0,0.6104651162790697
ml-1m,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,1,0.5602150537634409
ml-1m,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,2,0.61875
ml-1m,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,3,0.6686868686868687
ml-1m,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,4,0.6468085106382979
ml-1m,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,5,0.7281553398058254
ml-1m,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,6,0.7389830508474576
ml-1m,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,7,0.6820754716981133
ml-1m,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,8,0.637
