dataset,weighting,dim,method,seed,reconstruction_error_rel_mean,norm_distortion_mean,pairwise_distance_distortion,neighbor_overlap_at_10,neighbor_overlap_at_100,score_variance_flat,score_variance_pq,score_variance_ratio,long_tail_exposure_flat,long_tail_exposure_pq,long_tail_exposure_shift,delta_ndcg_vs_flat,interpretation_label,nprobe_used,n_sample_vectors,n_sample_queries,corr_recon_error_vs_delta_ndcg,corr_neighbor_overlap_vs_delta_ndcg,corr_n_points
amazon-books,bm25,128,flatpq,42,0.2621341347694397,0.047927696257829666,0.04893859475851059,0.6750999999999999,0.74319,0.005259677075114425,0.0039023488318100426,0.741936962303935,0.31,0.3184,0.008400000000000019,-0.0032673146684471,compression_preserves_quality,-1,5000,1000,-0.5714285714285715,-0.4523809523809524,8
amazon-books,bm25,128,ivfpq,42,0.19708004593849182,0.024706313386559486,0.026630718261003494,0.58,0.56214,0.005259677075114425,0.006357704878038211,1.2087633493924907,0.31,0.3035,-0.006500000000000006,-0.0012980328510864489,compression_preserves_quality,1,5000,1000,-0.5714285714285715,-0.4523809523809524,8
goodbooks,bm25,128,flatpq,42,0.21117356419563293,0.029351314529776573,0.029647311195731163,0.8700000000000001,0.9326,0.06026930550403021,0.055672273404059024,0.923725152272349,0.1333,0.1387,0.005399999999999988,-0.0029953994045337426,compression_preserves_quality,-1,5000,1000,-0.5714285714285715,-0.4523809523809524,8
goodbooks,bm25,128,ivfpq,42,0.16730208694934845,0.0175569336861372,0.0186390969902277,0.8060000000000002,0.6195,0.06026930550403021,0.0784282964552325,1.3012974979442562,0.1333,0.141,0.007699999999999985,-0.0023200981364436893,compression_preserves_quality,1,5000,1000,-0.5714285714285715,-0.4523809523809524,8
ml-1m,bm25,128,flatpq,42,0.24708350002765656,0.03780914843082428,0.038803137838840485,0.8535000000000001,0.8693299999999999,0.03562921693055468,0.03083561932713583,0.8654587999292236,0.0959,0.1061,0.0102,-0.003025355254124347,compression_preserves_quality,-1,3533,1000,-0.5714285714285715,-0.4523809523809524,8
ml-1m,bm25,128,ivfpq,42,0.21004417538642883,0.026497481390833855,0.02801087126135826,0.6617999999999999,0.3691900000000001,0.03562921693055468,0.07113336555814319,1.9964897263049608,0.0959,0.1134453781512605,0.017545378151260504,-0.0009304731651600465,compression_preserves_quality,1,3533,1000,-0.5714285714285715,-0.4523809523809524,8
ml-20m,bm25,128,flatpq,42,0.2362271547317505,0.03442477434873581,0.03854796662926674,0.8166,0.84996,0.01559433559680916,0.013334805161191688,0.8551056938854256,0.2,0.2085,0.00849999999999998,-0.00013349336973825232,compression_preserves_quality,-1,5000,1000,-0.5714285714285715,-0.4523809523809524,8
ml-20m,bm25,128,ivfpq,42,0.1838347464799881,0.022813592106103897,0.025108342990279198,0.6314,0.44090999999999997,0.01559433559680916,0.02615458419920543,1.6771849006864428,0.2,0.2071,0.007099999999999995,0.0006002566709081489,compression_preserves_quality,1,5000,1000,-0.5714285714285715,-0.4523809523809524,8
