dataset,weighting,modality,method,metric,mean,ci_low,ci_high,n,n_boot
ml-20m,bm25,i2i,flat,hr,0.0907,0.0849,0.0961025,10000,1000
ml-20m,bm25,i2i,flatpq,hr,0.0886,0.0831,0.0939,10000,1000
ml-20m,bm25,i2i,hnsw,hr,0.0908,0.085,0.0962025,10000,1000
ml-20m,bm25,i2i,ivfflat,hr,0.0906,0.0849,0.0960025,10000,1000
ml-20m,bm25,i2i,ivfpq,hr,0.0904,0.0848,0.0957025,10000,1000
ml-20m,bm25,i2i,flat,ndcg,0.0516883875488067,0.048162896979863,0.055386693709129,10000,1000
ml-20m,bm25,i2i,flatpq,ndcg,0.0505095099479644,0.047023092808878,0.0540388380187534,10000,1000
ml-20m,bm25,i2i,hnsw,ndcg,0.0517172940314385,0.0481647620213275,0.0554190123958198,10000,1000
ml-20m,bm25,i2i,ivfflat,ndcg,0.0517086740307261,0.0481815370901389,0.0553432041814075,10000,1000
ml-20m,bm25,i2i,ivfpq,ndcg,0.0510333629916462,0.0476717394885345,0.0545070154559706,10000,1000
ml-20m,bm25,i2i,flat,recall,0.0907,0.0849,0.0961025,10000,1000
ml-20m,bm25,i2i,flatpq,recall,0.0886,0.0831,0.0939,10000,1000
ml-20m,bm25,i2i,hnsw,recall,0.0908,0.085,0.0962025,10000,1000
ml-20m,bm25,i2i,ivfflat,recall,0.0906,0.0849,0.0960025,10000,1000
ml-20m,bm25,i2i,ivfpq,recall,0.0904,0.0848,0.0957025,10000,1000
ml-20m,bm25,u2i,flat,hr,0.0867,0.0809,0.0922025,10000,1000
ml-20m,bm25,u2i,flatpq,hr,0.0822,0.0767974999999999,0.0880025,10000,1000
ml-20m,bm25,u2i,hnsw,hr,0.0867,0.0809,0.0922025,10000,1000
ml-20m,bm25,u2i,ivfflat,hr,0.0866,0.0808,0.0925,10000,1000
ml-20m,bm25,u2i,ivfpq,hr,0.0865,0.0810975,0.0923025,10000,1000
ml-20m,bm25,u2i,flat,ndcg,0.0446277133587444,0.04142879696502,0.0479070885957253,10000,1000
ml-20m,bm25,u2i,flatpq,ndcg,0.0412473886110738,0.0382833811253389,0.0444105210618832,10000,1000
ml-20m,bm25,u2i,hnsw,ndcg,0.0446259265130896,0.0414269654482238,0.0479070885957253,10000,1000
ml-20m,bm25,u2i,ivfflat,ndcg,0.0445437400989292,0.0413317166883085,0.047762794967208,10000,1000
ml-20m,bm25,u2i,ivfpq,ndcg,0.0445092661993945,0.0413894490053734,0.0478912219511645,10000,1000
ml-20m,bm25,u2i,flat,recall,0.0867,0.0809,0.0922025,10000,1000
ml-20m,bm25,u2i,flatpq,recall,0.0822,0.0767974999999999,0.0880025,10000,1000
ml-20m,bm25,u2i,hnsw,recall,0.0867,0.0809,0.0922025,10000,1000
ml-20m,bm25,u2i,ivfflat,recall,0.0866,0.0808,0.0925,10000,1000
ml-20m,bm25,u2i,ivfpq,recall,0.0865,0.0810975,0.0923025,10000,1000
