dataset,weighting,modality,method,baseline,metric,mean_diff,cohens_d,cohens_d_magnitude,cliffs_delta,cliffs_delta_magnitude,n
goodbooks,bm25,u2i,ivfpq,flat,map,-0.00023678571428571195,-0.004502236548518159,negligible,-0.002552499999999999,negligible,10000
goodbooks,bm25,u2i,ivfpq,flat,mrr,-0.00023678571428571195,-0.004502236548518159,negligible,-0.002552499999999999,negligible,10000
ml-1m,bm25,i2i,flatpq,flat,recall,-0.004306774888189507,-0.02982184987226833,negligible,-0.004327499999999998,negligible,6037
ml-1m,bm25,i2i,flatpq,flat,precision,-0.00043067748881894796,-0.02982184987226834,negligible,-0.004327499999999998,negligible,6037
ml-1m,bm25,i2i,flatpq,flat,hr,-0.004306774888189507,-0.02982184987226833,negligible,-0.004327499999999998,negligible,6037
ml-1m,bm25,i2i,flatpq,flat,ndcg,-0.0013988093421388181,-0.02220330401278789,negligible,-0.003970500000000002,negligible,6037
ml-1m,bm25,i2i,flatpq,flat,map,-0.0006230756893337644,-0.01054118942844734,negligible,-0.003970500000000002,negligible,6037
ml-1m,bm25,i2i,flatpq,flat,mrr,-0.0006230756893337644,-0.01054118942844734,negligible,-0.003970500000000002,negligible,6037
ml-1m,bm25,i2i,hnsw,flat,recall,0.0,0.0,negligible,2.0499999999992746e-05,negligible,6037
ml-1m,bm25,i2i,hnsw,flat,precision,0.0,0.0,negligible,2.0499999999992746e-05,negligible,6037
ml-1m,bm25,i2i,hnsw,flat,hr,0.0,0.0,negligible,2.0499999999992746e-05,negligible,6037
ml-1m,bm25,i2i,hnsw,flat,ndcg,0.0,0.0,negligible,6.649999999999712e-05,negligible,6037
ml-1m,bm25,i2i,hnsw,flat,map,0.0,0.0,negligible,6.649999999999712e-05,negligible,6037
ml-1m,bm25,i2i,hnsw,flat,mrr,0.0,0.0,negligible,6.649999999999712e-05,negligible,6037
ml-1m,bm25,i2i,ivfflat,flat,recall,0.0,0.0,negligible,2.0499999999992746e-05,negligible,6037
ml-1m,bm25,i2i,ivfflat,flat,precision,0.0,0.0,negligible,2.0499999999992746e-05,negligible,6037
ml-1m,bm25,i2i,ivfflat,flat,hr,0.0,0.0,negligible,2.0499999999992746e-05,negligible,6037
ml-1m,bm25,i2i,ivfflat,flat,ndcg,7.467368104745187e-06,0.017128754629848204,negligible,6.899999999999962e-05,negligible,6037
ml-1m,bm25,i2i,ivfflat,flat,map,7.822133878121473e-06,0.016831411088393863,negligible,6.899999999999962e-05,negligible,6037
ml-1m,bm25,i2i,ivfflat,flat,mrr,7.822133878121473e-06,0.016831411088393863,negligible,6.899999999999962e-05,negligible,6037
ml-1m,bm25,i2i,ivfpq,flat,recall,-0.0014908066920655966,-0.011525615067111703,negligible,-0.0013535000000000075,negligible,6037
ml-1m,bm25,i2i,ivfpq,flat,precision,-0.00014908066920655758,-0.011525615067111706,negligible,-0.0013535000000000075,negligible,6037
ml-1m,bm25,i2i,ivfpq,flat,hr,-0.0014908066920655966,-0.011525615067111703,negligible,-0.0013535000000000075,negligible,6037
ml-1m,bm25,i2i,ivfpq,flat,ndcg,-0.0005460961095542366,-0.010625793837465517,negligible,-0.001128000000000004,negligible,6037
ml-1m,bm25,i2i,ivfpq,flat,map,-0.00032307384883167867,-0.0073111963479469185,negligible,-0.001128000000000004,negligible,6037
ml-1m,bm25,i2i,ivfpq,flat,mrr,-0.00032307384883167867,-0.0073111963479469185,negligible,-0.001128000000000004,negligible,6037
ml-1m,bm25,u2i,flatpq,flat,recall,-0.0036441941361603503,-0.01843290985962776,negligible,-0.003810999999999995,negligible,6037
ml-1m,bm25,u2i,flatpq,flat,precision,-0.0003644194136160333,-0.01843290985962776,negligible,-0.003810999999999995,negligible,6037
ml-1m,bm25,u2i,flatpq,flat,hr,-0.0036441941361603503,-0.01843290985962776,negligible,-0.003810999999999995,negligible,6037
ml-1m,bm25,u2i,flatpq,flat,ndcg,-0.0025949240488457245,-0.026971729314002654,negligible,-0.004026500000000002,negligible,6037
ml-1m,bm25,u2i,flatpq,flat,map,-0.002237196021360341,-0.024836907153025764,negligible,-0.004026500000000002,negligible,6037
ml-1m,bm25,u2i,flatpq,flat,mrr,-0.002237196021360341,-0.024836907153025764,negligible,-0.004026500000000002,negligible,6037
ml-1m,bm25,u2i,hnsw,flat,recall,0.0,0.0,negligible,-1.6500000000002624e-05,negligible,6037
ml-1m,bm25,u2i,hnsw,flat,precision,0.0,0.0,negligible,-1.6500000000002624e-05,negligible,6037
ml-1m,bm25,u2i,hnsw,flat,hr,0.0,0.0,negligible,-1.6500000000002624e-05,negligible,6037
