dataset,weighting,dim,modality,method,baseline,metric,mean_diff,cohens_d,cohens_d_magnitude,cliffs_delta,cliffs_delta_magnitude,n,seed,evaluation_seed
amazon-books,bm25,128,u2i,ivfpq,flat,hr,-0.001899999999999999,-0.019496318638331952,negligible,-0.0021160000000000033,negligible,10000,42,42
amazon-books,bm25,128,u2i,ivfpq,flat,map,-0.0018232936507936465,-0.03180410376862583,negligible,-0.0021500000000000026,negligible,10000,42,42
amazon-books,bm25,128,u2i,ivfpq,flat,mrr,-0.0018232936507936465,-0.03180410376862583,negligible,-0.0021500000000000026,negligible,10000,42,42
amazon-books,bm25,128,u2i,ivfpq,flat,ndcg,-0.0018548158250996857,-0.03255305390011768,negligible,-0.0021500000000000026,negligible,10000,42,42
amazon-books,bm25,128,u2i,ivfpq,flat,precision,-0.00019000000000000006,-0.01949631863833196,negligible,-0.0021160000000000033,negligible,10000,42,42
amazon-books,bm25,128,u2i,ivfpq,flat,recall,-0.001899999999999999,-0.019496318638331952,negligible,-0.0021160000000000033,negligible,10000,42,42
goodbooks,bm25,128,i2i,flatpq,flat,hr,-0.001899999999999985,-0.01992036763192412,negligible,-0.002174499999999996,negligible,10000,42,42
goodbooks,bm25,128,i2i,flatpq,flat,map,-0.0052011507936507995,-0.05757128452080158,negligible,-0.0030820000000000014,negligible,10000,42,42
goodbooks,bm25,128,i2i,flatpq,flat,mrr,-0.0052011507936507995,-0.05757128452080158,negligible,-0.0030820000000000014,negligible,10000,42,42
goodbooks,bm25,128,i2i,flatpq,flat,ndcg,-0.004424762569848584,-0.059240711079193896,negligible,-0.0030820000000000014,negligible,10000,42,42
goodbooks,bm25,128,i2i,flatpq,flat,precision,-0.0001899999999999992,-0.019920367631924122,negligible,-0.002174499999999996,negligible,10000,42,42
goodbooks,bm25,128,i2i,flatpq,flat,recall,-0.001899999999999985,-0.01992036763192412,negligible,-0.002174499999999996,negligible,10000,42,42
goodbooks,bm25,128,i2i,hnsw,flat,hr,0.0,0.0,negligible,-0.00021799999999999597,negligible,10000,42,42
goodbooks,bm25,128,i2i,hnsw,flat,map,-1.666666666667871e-05,-0.010000000000000004,negligible,-0.0002214999999999856,negligible,10000,42,42
goodbooks,bm25,128,i2i,hnsw,flat,mrr,-1.666666666667871e-05,-0.010000000000000004,negligible,-0.0002214999999999856,negligible,10000,42,42
goodbooks,bm25,128,i2i,hnsw,flat,ndcg,-1.3092975357162362e-05,-0.009999999999999993,negligible,-0.0002214999999999856,negligible,10000,42,42
goodbooks,bm25,128,i2i,hnsw,flat,precision,0.0,0.0,negligible,-0.00021799999999999597,negligible,10000,42,42
goodbooks,bm25,128,i2i,hnsw,flat,recall,0.0,0.0,negligible,-0.00021799999999999597,negligible,10000,42,42
goodbooks,bm25,128,i2i,ivfflat,flat,hr,-0.00020000000000000573,-0.014142842854277925,negligible,-0.0004214999999999913,negligible,10000,42,42
goodbooks,bm25,128,i2i,ivfflat,flat,map,-0.0001285714285714501,-0.012507861472700133,negligible,-0.0004240000000000077,negligible,10000,42,42
goodbooks,bm25,128,i2i,ivfflat,flat,mrr,-0.0001285714285714501,-0.012507861472700133,negligible,-0.0004240000000000077,negligible,10000,42,42
goodbooks,bm25,128,i2i,ivfflat,flat,ndcg,-0.00014413892331302525,-0.013470460769285026,negligible,-0.0004240000000000077,negligible,10000,42,42
goodbooks,bm25,128,i2i,ivfflat,flat,precision,-1.999999999999745e-05,-0.014142842854277924,negligible,-0.0004214999999999913,negligible,10000,42,42
goodbooks,bm25,128,i2i,ivfflat,flat,recall,-0.00020000000000000573,-0.014142842854277925,negligible,-0.0004214999999999913,negligible,10000,42,42
