n_items,dim,method,build_wall_time_sec,index_size_mb,rss_mb_after,rss_mb_delta,calibration_target,target_reached,param_name,calibrated_param_value,achieved_recall_vs_exact,latency_p50_ms,latency_p95_ms,quality_measured,seed
500000,64,ivfflat,0.927,127.97,514.0,-93.6,0.95,True,nprobe,8.0,0.99718,0.16915000014705583,0.20324499937487417,False,42
500000,64,ivfpq,10.011,21.22,438.1,-75.9,0.95,False,nprobe,32.0,0.8766,0.2881500004150439,0.3967699995882868,False,42
500000,64,flatpq,2.012,17.23,408.1,-30.1,0.95,False,,,0.63836,2.7704000003723195,4.570030000195402,False,42
500000,128,flat,0.771,246.05,881.2,228.9,0.95,True,,,1.0,13.288500001181092,14.52895500115119,False,42
500000,128,hnsw,29.144,345.32,984.5,103.3,0.95,True,ef,128.0,0.96294,0.6127500000729924,0.8300750001581039,False,42
500000,128,ivfflat,1.312,250.21,883.1,-101.4,0.95,True,nprobe,4.0,0.96978,0.2837000001818524,0.3306400008113997,False,42
500000,128,ivfpq,9.99,21.46,684.7,-198.4,0.95,False,nprobe,32.0,0.61522,0.27940000018134015,0.36492000090220245,False,42
500000,128,flatpq,2.311,17.29,654.6,-30.1,0.95,False,,,0.21536,2.827300000717514,3.9353650013254087,False,42
500000,256,flat,1.208,490.19,1616.7,473.6,0.95,True,,,1.0,26.627100000041537,29.027709999900253,False,42
500000,256,hnsw,50.415,589.46,1720.0,103.4,0.95,True,ef,256.0,0.9845,1.4074999999138527,1.8441050006003938,False,42
500000,256,ivfflat,2.132,494.7,1619.1,-101.1,0.95,True,nprobe,4.0,0.98788,0.5409999994299142,0.6228500002180226,False,42
500000,256,ivfpq,12.763,21.93,1178.0,-441.1,0.95,False,nprobe,16.0,0.32026,0.19609999981184956,0.2537150010539335,False,42
500000,256,flatpq,2.438,17.42,1145.8,-32.2,0.95,False,,,0.07782,2.863749999960419,4.219865000413848,False,42
1000000,64,flat,0.738,247.96,886.6,229.0,0.95,True,,,1.0,13.543999999455991,15.072204999978567,False,42
1000000,64,hnsw,53.47,446.48,1096.4,209.6,0.95,True,ef,128.0,0.95824,0.579400000788155,0.791015000322659,False,42
1000000,64,ivfflat,1.879,255.84,891.7,-204.8,0.95,True,nprobe,8.0,0.9912,0.22430000080930768,0.408780000088882,False,42
1000000,64,ivfpq,13.741,42.28,719.8,-172.0,0.95,False,nprobe,32.0,0.8695,0.40624999928695615,0.5639000008159202,False,42
1000000,64,flatpq,3.026,34.39,675.2,-44.6,0.95,False,,,0.6021,6.067399999665213,8.508410000740698,False,42
1000000,128,flat,1.211,492.1,1621.6,457.9,0.95,True,,,1.0,26.965549999658833,29.093835000458057,False,42
1000000,128,hnsw,83.981,690.62,1832.8,211.2,0.95,True,ef,256.0,0.97392,1.2579000003825058,1.6656949997923225,False,42
1000000,128,ivfflat,2.8,500.22,1627.4,-205.5,0.95,True,nprobe,4.0,0.95836,0.5218999995122431,0.6015249984557158,False,42
1000000,128,ivfpq,17.844,42.58,1209.0,-418.3,0.95,False,nprobe,32.0,0.58892,0.3858999989461154,0.4968399994140782,False,42
1000000,128,flatpq,3.567,34.46,1164.6,-44.5,0.95,False,,,0.17676,6.26879999981611,8.9325550007743,False,42
1000000,256,flat,2.127,980.38,3088.4,946.9,0.95,True,,,1.0,53.61039999934292,57.592515000305866,False,42
1000000,256,hnsw,142.503,1178.9,3299.9,211.4,0.95,True,ef,512.0,0.97864,3.076199998758966,3.6484449999079516,False,42
1000000,256,ivfflat,4.602,988.99,3097.9,-202.1,0.95,True,nprobe,4.0,0.97772,1.0146999993594363,1.1583100005736926,False,42
1000000,256,ivfpq,19.105,43.2,2231.2,-866.7,0.95,False,nprobe,32.0,0.28248,0.421249999817519,0.5515949987056956,False,42
1000000,256,flatpq,3.863,34.58,2200.1,-31.1,0.95,False,,,0.05488,6.089550000069721,8.040470000287314,False,42
