dataset,weighting,modality,method,metric,k,decile,group,value,fairness_scope,notes
goodbooks,bm25,i2i,hnsw,exposure_share_decile,10,9.0,,0.26276,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,hnsw,exposure_share_group,10,,head,0.26276,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,hnsw,exposure_share_group,10,,mid,0.6435,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,hnsw,exposure_share_group,10,,tail,0.09374,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,hnsw,user_popularity_calibration_error,10,,,1.5137541410153936,popularity_calibration_proxy,mean |log1p(rec pop) - log1p(hist pop)| per user
goodbooks,bm25,i2i,ivfflat,long_tail_exposure,10,,,0.09546,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,ivfflat,long_tail_exposure,100,,,0.170157,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,ivfflat,long_tail_uplift,10,,,0.06035061774570977,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,ivfflat,gini_exposure,10,,,0.571486544,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,ivfflat,gini_exposure,100,,,0.4205166292,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,ivfflat,coverage,10,,,0.9158,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,ivfflat,coverage,100,,,0.9996,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,ivfflat,exposure_share_decile,10,0.0,,0.03807,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,ivfflat,exposure_share_decile,10,1.0,,0.05419,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,ivfflat,exposure_share_decile,10,2.0,,0.06483,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,ivfflat,exposure_share_decile,10,3.0,,0.06922,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,ivfflat,exposure_share_decile,10,4.0,,0.07219,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,ivfflat,exposure_share_decile,10,5.0,,0.08127,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,ivfflat,exposure_share_decile,10,6.0,,0.09096,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,ivfflat,exposure_share_decile,10,7.0,,0.11387,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,ivfflat,exposure_share_decile,10,8.0,,0.15332,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,ivfflat,exposure_share_decile,10,9.0,,0.26208,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,ivfflat,exposure_share_group,10,,head,0.26208,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,ivfflat,exposure_share_group,10,,mid,0.64396,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,ivfflat,exposure_share_group,10,,tail,0.09396,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,ivfflat,user_popularity_calibration_error,10,,,1.5147357326640947,popularity_calibration_proxy,mean |log1p(rec pop) - log1p(hist pop)| per user
goodbooks,bm25,i2i,ivfpq,long_tail_exposure,10,,,0.10111,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,ivfpq,long_tail_exposure,100,,,0.17712,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,ivfpq,long_tail_uplift,10,,,0.06600061774570977,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,ivfpq,gini_exposure,10,,,0.571748666,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,ivfpq,gini_exposure,100,,,0.4159729448,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,ivfpq,coverage,10,,,0.9141,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,ivfpq,coverage,100,,,0.9998,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,ivfpq,exposure_share_decile,10,0.0,,0.03997,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,ivfpq,exposure_share_decile,10,1.0,,0.05769,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,ivfpq,exposure_share_decile,10,2.0,,0.06597,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,ivfpq,exposure_share_decile,10,3.0,,0.07131,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,ivfpq,exposure_share_decile,10,4.0,,0.07101,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,ivfpq,exposure_share_decile,10,5.0,,0.08254,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,ivfpq,exposure_share_decile,10,6.0,,0.09068,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,ivfpq,exposure_share_decile,10,7.0,,0.11247,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,ivfpq,exposure_share_decile,10,8.0,,0.15283,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,ivfpq,exposure_share_decile,10,9.0,,0.25553,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,ivfpq,exposure_share_group,10,,head,0.25553,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,ivfpq,exposure_share_group,10,,mid,0.645,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,ivfpq,exposure_share_group,10,,tail,0.09947,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,ivfpq,user_popularity_calibration_error,10,,,1.5274874852250881,popularity_calibration_proxy,mean |log1p(rec pop) - log1p(hist pop)| per user
goodbooks,bm25,u2i,flat,long_tail_exposure,10,,,0.05748,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,flat,long_tail_exposure,100,,,0.102339,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,flat,long_tail_uplift,10,,,0.022370617745709767,long_tail_exposure_proxy_only,
